City of license / Market,Station,ChannelTV (RF),Year acquired,DT1 affiliation,DT2 affiliation,DT3 affiliation,DT4 affiliation
"Birmingham - Tuscaloosa - Anniston, AL",WTTO,21 (28),1995,The CW,Antenna TV,Comet,GetTV
"Birmingham - Tuscaloosa - Anniston, AL",WABM,68 (36),2001,MyNetworkTV,ABC,weather,
"Birmingham - Tuscaloosa - Anniston, AL",WDBB,17 (18),1995,The CW,ABC,weather,
"Birmingham - Tuscaloosa - Anniston, AL",WBMA-LD,58 (40),2014,ABC,weather,ASN,Charge!
"Mobile, AL & Pensacola, FL",WEAR-TV,3 (17),1997,ABC,TBD,Charge!,
"Mobile, AL & Pensacola, FL",WPMI-TV  2,15 (15),2012,NBC,WeatherNation TV,,
"Mobile, AL & Pensacola, FL",WFGX,35 (50),2001,MyNetworkTV & This TV,GetTV,Comet,
"Mobile, AL & Pensacola, FL",WJTC  2,44 (45),2012,Independent,Grit,,
"Little Rock, AR",KATV,7 (22),2014,ABC,Comet,Charge!,TBD
"Bakersfield, CA",KBAK-TV,29 (33),2013,CBS,Charge!,Fox,
"Bakersfield, CA",KBFX-CD,58 (29),2013,Fox,TBD,Comet,
Chico - Redding,KRCR-TV,7 (7),2017,ABC,MeTV,,
Chico - Redding,KXVU-LP,17,2017,Antenna TV,,,
Chico - Redding,KCVU,20 (20),2017,Fox,,,
Chico - Redding,KRVU-LD,21 (21),2017,MyNetworkTV,,,
Chico - Redding,KZVU-LD,22 (22),MyNetworkTV,,,,2017
Chico - Redding,KUCO-LP,27,2017,Univision,,,
Chico - Redding,KKTF-LD,30 (30),2017,UniMás,,,
"Eureka, California & Arcata",KAEF-TV,23 (22),2017,ABC,MeTV,,
"Eureka, California & Arcata",KBVU,28 (28),2017,Fox,,,
"Eureka, California & Arcata",KECA-LD,29 (29),2017,The CW,MyNetworkTV,,
"Eureka, California & Arcata",KEUV-LP,31,2017,Univision,,,
"Fresno & Visalia, CA",KMPH-TV,26 (28),2013,Fox,This TV,Comet,
"Fresno & Visalia, CA",KFRE-TV,59 (36),2013,The CW,Estrella TV,TBD,
"Washington, D.C.",WJLA-TV,7 (7),2014,ABC,Charge!,Comet,TBD
"Fort Pierce & West Palm Beach, FL",WPEC,12 (13),2012,CBS,WeatherNation TV,Comet,
"Fort Pierce & West Palm Beach, FL",WTVX,34 (34),2012,The CW,Azteca América,MyNetworkTV,
"Fort Pierce & West Palm Beach, FL",WTCN-CA,43 (34.3),2012,MyNetworkTV,Antenna TV,TBD,
"Fort Pierce & West Palm Beach, FL",WWHB-CA,48 (34.2),2012,Azteca América,Charge!,,
"Gainesville & High Springs, FL",WGFL,28 (28),2014,CBS,MyNetworkTV,TBD,
"Gainesville & High Springs, FL",WNBW-DT,9 (9),2014,NBC,Charge!,Comet TV,MeTV
"Gainesville & High Springs, FL",WMYG-LP,11 (28.2),2014,MyNetworkTV,,,
"Gainesville & High Springs, FL",WYME-CD,45 (45),2014,MeTV,,,
"Tallahassee, FL & Thomasville, GA",WTWC-TV,40 (40),1998,NBC,Fox,Charge!,
"Tallahassee, FL & Thomasville, GA",WTLH,49 (50),2014,MeTV,CW+,Comet TV,
"Tallahassee, FL & Thomasville, GA",WTLF,24 (24),2014,CW+,Comet TV,TBD,
"Albany, GA",WFXL,31 (12),2013,Fox,TBD,Comet TV,Charge!
"Macon, GA",WGXA,24 (16),2014,Fox,ABC,Comet,
"Cedar Rapids - Waterloo -Dubuque - Iowa City, IA",KGAN,2 (29),1998,CBS,GetTV,Comet,
"Cedar Rapids - Waterloo -Dubuque - Iowa City, IA",KFXA,28 (27),,Fox,Charge!,TBD,
"Des Moines, IA",KDSM-TV,17 (16),1997,Fox,Comet,Charge!,TBD
"Sioux City, IA",KPTH,44 (49),2013,Fox,MyNetworkTV & This TV,Charge!,
"Sioux City, IA",KMEG,14 (39),,CBS,TBD,Comet TV,
"Boise, ID",KBOI-TV,2 (9),2013,CBS,CW+,Charge!,
"Boise, ID",KYUU-LD,35 (28),2013,CW+,TBD,Comet,
"Lewiston, ID",KLEW-TV,3 (32),2013,CBS,Grit,,
"Champaign - Urbana -Decatur - Springfield, IL",WICS,20 (42),1998,ABC,Comet,TBD,Charge!
"Champaign - Urbana -Decatur - Springfield, IL",WICD,15 (41),1998,ABC,Comet,TBD,Charge!
"Champaign - Urbana -Decatur - Springfield, IL",WRSP-TV,55 (44),,Fox,MeTV,Antenna TV,
"Champaign - Urbana -Decatur - Springfield, IL",WCCU,,Fox,MeTV,Antenna TV,,27 (26)
"Champaign - Urbana -Decatur - Springfield, IL",WBUI,22 (23),,The CW,This TV,,
"Peoria & Bloomington, IL",WHOI,19 (19),2013,Comet,,,
"Peoria & Bloomington, IL",WYZZ-TV,43 (28),1996,Fox,GetTV,,
"South Bend, IN",WSBT-TV,22 (22),2016,CBS,Fox,,
"Wichita, KS",KSAS-TV,24 (26),2012,Fox,TBD,Comet,
"Wichita, KS",KAAS-TV,2012,Fox,TBD,Comet,,17 (17)
"Wichita, KS",KOCW,2012,Fox,TBD,Comet,,17 (14)
"Wichita, KS",KMTW,36 (35),,MyNetworkTV,GetTV,,
"Danville - Lexington, KY",WDKY-TV,56 (31),2001,Fox,Comet TV,Charge!,TBD
"Portland, ME",WGME-TV,13 (38),1998,CBS,TBD,ASN,
"Portland, ME",WPFO,23 (23),,Fox,Charge!,Comet,
"Baltimore, MD",WBFF **,45 (46),1971,Fox,WeatherNation TV,This TV,
"Baltimore, MD",WNUV,54 (40),1994,The CW,Antenna TV,Comet,
"Baltimore, MD",WUTB,24 (41),2013,MyNetworkTV,Grit,ASN,
"Flint - Saginaw - Bay City, MI",WEYI-TV  7,25 (30),2013,NBC,The CW,Bounce TV,
"Flint - Saginaw - Bay City, MI",WBSF  1,46 (46),2013,The CW,NBC,Grit,
"Flint - Saginaw - Bay City, MI",WSMH,66 (16),1996,Fox,Antenna TV,Comet,
"Kalamazoo & Grand Rapids, MI",WWMT,3 (8),2012,CBS,The CW,Comet,
"Traverse City - Cadillac, MICheboygan - Sault Ste. Marie, MI",WPBN-TV,7 (47),2013,NBC,ABC,Comet,
"Traverse City - Cadillac, MICheboygan - Sault Ste. Marie, MI",WTOM-TV,2013,NBC,ABC,Comet,,4 (35)
"Traverse City - Cadillac, MICheboygan - Sault Ste. Marie, MI",WGTU  1,29 (29),2013,ABC,Comet,,NBC
"Traverse City - Cadillac, MICheboygan - Sault Ste. Marie, MI",WGTQ  1,2013,ABC,8 (8),,,
"Minneapolis & St. Paul, MN",WUCW,23 (22),1998,The CW,Comet,Charge!,TBD
"Cape Girardeau, MO - Paducah, KY -Harrisburg, IL",KBSI,23 (22),1998,Fox,MyNetworkTV,Comet,
"Cape Girardeau, MO - Paducah, KY -Harrisburg, IL",WDKA,49 (49),,MyNetworkTV,Charge!,TBD,GetTV
"Columbia - Jefferson City, MO",KRCG,13 (12),2013,CBS,Comet,Charge!,TBD
"Hannibal, MO - Quincy, IL",KHQA-TV,7 (7),2013,CBS,ABC,Comet,
"Kirksville, MO - Ottumwa, IA",KTVO,3 (33),2013,ABC,CBS,Comet,
"St. Louis, MO",KDNL-TV,30 (31),1997,ABC,TBD,Charge!,
"Missoula, MT",KECI-TV,13 (13),2017,NBC,MeTV,Movies,
"Kalispell, MT",KCFW-TV,9 (9),NBC,MeTV,Movies,,2017
"Butte, MT",KTVM-TV,6 (6),NBC,MeTV,Movies,,2017
"Bozeman, MT",KDBZ-CD,42 (42),NBC,MeTV,Movies,,2017
"Hayes Center, NE",KWNB-TV,6 (6),2016,ABC,Fox,,
"Kearney - Hastings, NE",KHGI-TV,13 (13),2016,ABC,Fox,TBD,
"Lincoln, NE",KFXL-TV,51 (51),2016,Fox,,,
"North Platte, NE",KHGI-CD,13 (13),2016,ABC,,,
"Omaha, NE",KPTM,42 (43),2013,Fox,MyNetworkTV & This TV,Comet,
"Omaha, NE",KXVO,15 (39),,The CW,TBD,Charge!,
"Elko, NV",KENV-DT,10 (10),,NBC,,,
"Las Vegas, NV",KSNV,3 (22),1997,NBC,Estrella TV,Charge!,
"Las Vegas, NV",KVCW,33 (29),2000,The CW,MyNetworkTV,TBD,This TV
"Reno, NV",KRNV-DT,4 (7),,NBC,This TV,TBD,
"Reno, NV",KRXI-TV,11 (44),2013,Fox,Charge!,Grit,
"Reno, NV",KAME-TV,21 (20),2013,MyNetworkTV,MeTV,Comet,
"Buffalo, NY",WUTV,29 (14),1996,Fox,ZUUS Country,Grit,
"Buffalo, NY",WNYO-TV,49 (49),2001,MyNetworkTV,GetTV,Comet,
"Rochester, NY",WHAM-TV  2,13 (13),2013,ABC,The CW,Charge!,
"Rochester, NY",WUHF,31 (28),1995,Fox,Antenna TV,Comet,TBD
"Schenectady - Albany - Troy, NY",WRGB,6 (6),2012,CBS,TBD,Comet,
"Schenectady - Albany - Troy, NY",WCWN,45 (43),2012,The CW,Charge!,CBS,
"Syracuse, NY",WSTM-TV,3 (24),2013,NBC,The CW,Comet,
"Syracuse, NY",WTVH,5 (47),,CBS,Charge!,TBD,
"Syracuse, NY",WSTQ-LP,14 (3.2),2013,The CW,,,
"Asheville, NCGreenville & Spartanburg, SC",WLOS,13 (13),1997,ABC,MyNetworkTV,Antenna TV,
"Asheville, NCGreenville & Spartanburg, SC",WMYA-TV  1,40 (14),1997,MyNetworkTV,Comet,TBD,Charge!
"Greenville - New Bern - Morehead City, NC",WFXI,8 (8),2017,Fox,Bounce,,
"Greenville - New Bern - Morehead City, NC",WYDO,14 (47),Fox,Bounce,,,2017
"Greenville - New Bern - Morehead City, NC",WCTI-TV,12 (12),2017,ABC,Decades,Movies!,
"Raleigh - Durham, NC",WLFL,22 (27),1994,The CW,ASN,,
"Raleigh - Durham, NC",WRDC,28 (28),1995,MyNetworkTV,Grit,Comet,
"Winston-Salem - Greensboro - High Point, NC",WXLV-TV,45 (29),1996,ABC,ASN,Grit,
"Winston-Salem - Greensboro - High Point, NC",WMYV,48 (33),2001,MyNetworkTV,GetTV,Comet,
"Cincinnati, OH",WKRC-TV,12 (12),2012,CBS,The CW,ASN,
"Cincinnati, OH",WSTR-TV,64 (33),1995,MyNetworkTV,Antenna TV,Comet,TBD
"Columbus & Chillicothe, OH",WSYX,6 (48),1997,ABC,MyNetworkTV & This TV,Antenna TV,
"Columbus & Chillicothe, OH",WTTE **,28 (36),1984,Fox,GetTV,ASN,
"Columbus & Chillicothe, OH",WWHO,53 (46),2011,The CW,Grit,Comet,
"Dayton, OH",WKEF,22 (51),1998,ABC,ASN,Antenna TV,Grit
"Dayton, OH",WRGT-TV  1,45 (30),2001,Fox,MyNetworkTV & This TV,Comet,Charge!
"Steubenville, OH & Wheeling, WV",WTOV-TV,9 (9),2013,NBC,Fox,MeTV,
"Toledo, OH",WNWO-TV,24 (49),2013,NBC,ASN,Comet,TBD
"Oklahoma City, OK",KOKH-TV,25 (24),2003,Fox,Charge!,WeatherNation TV,
"Oklahoma City, OK",KOCB,34 (33),1996,The CW,TBD,Comet,
"Tulsa, OK",KTUL,8 (10),2014,ABC,Comet,Antenna TV,
"Eugene, ORCoos Bay, ORRoseburg, OR",KVAL-TV,13 (25),2013,CBS,TBD,Charge!,
"Eugene, ORCoos Bay, ORRoseburg, OR",KCBY-TV,2013,CBS,TBD,Charge!,,11 (21)
"Eugene, ORCoos Bay, ORRoseburg, OR",KPIC  11,2013,CBS,TBD,Charge!,,4 (19)
"Eugene, ORCoos Bay, ORRoseburg, OR",KMTR,16 (17),,NBC,CW+,Comet,
"Eugene, ORCoos Bay, ORRoseburg, OR",KMCB,,NBC,CW+,Comet,,23 (22)
"Eugene, ORCoos Bay, ORRoseburg, OR",KTCW,,NBC,CW+,Comet,,46 (45)
"Medford, OR",KTVL,10 (10),2012,CBS,CW+,Comet,TBD
"Portland, OR",KATU,2 (43),2013,ABC,MeTV,Comet,
"Portland, OR",KUNP,16 (16),2013,Univision,TBD,Charge!,
"Harrisburg - Lancaster - Lebanon - York, PA",WHP-TV,21 (21),2012,CBS,MyNetworkTV,The CW,
"Johnstown & Altoona, PA",WJAC-TV,6 (34),2013,NBC,MeTV,Comet,Grit
"Pittsburgh, PA",WPGH-TV,53 (43),1991,Fox,Antenna TV,Charge!,
"Pittsburgh, PA",WPNT **,22 (42),2000,MyNetworkTV,ASN,Comet,TBD
"Scranton - Wilkes-Barre, PA",WOLF-TV,56 (45),2014,Fox,The CW,MyNetworkTV,
"Scranton - Wilkes-Barre, PA",WQMY,53 (29),2014,MyNetworkTV,Fox,The CW,
"Scranton - Wilkes-Barre, PA",WSWB,38 (31),2014,The CW,MeTV,Comet,ASN
"Providence, RI & New Bedford, MA",WJAR,10 (51),2014,NBC,MeTV,Comet,TBD
"Charleston, SC",WTAT-TV  1,24 (24),1995,Fox,Justice Network,GetTV,
"Charleston, SC",WCIV,36 (36),1998,MyNetworkTV,ABC,MeTV,
"Columbia, SC",WACH,57 (48),2013,Fox,ASN,Comet TV,TBD
"Florence & Myrtle Beach, SC",WPDE-TV,15 (16),2013,ABC,weather,Comet,
"Florence & Myrtle Beach, SC",WWMB,21 (21),2013,The CW,CW+,ASN,
"Hardeeville, SC & Savannah, GA",WTGS,28 (28),2014,Fox,Comet,Antenna TV,TBD
"Chattanooga, TN",WTVC,9 (9),2012,ABC,Fox,WeatherNation TV,
"Chattanooga, TN",WDSI-TV,61 (40),2015,This TV,Comet,,
"Chattanooga, TN",WFLI-TV,53 (42),2015,The CW,MyNetworkTV,MeTV,
"Nashville, TN",WZTV,17 (15),1994,Fox,WeatherNation TV,Antenna TV,
"Nashville, TN",WUXP,30 (21),2000,MyNetworkTV,GetTV,Comet,
"Nashville, TN",WNAB,58 (23),,The CW,ASN,Grit,
"Abilene, TX",KTXS-TV,12 (12),2017,ABC,The CW,MeTV,
"Abilene, TX",KTES-LD,40 (40),2017,MeTV,,,
"Amarillo, TXClovis, NM",KVII-TV,7 (7),2013,ABC,CW+,Grit,
"Amarillo, TXClovis, NM",KVIH-TV,2013,ABC,CW+,Grit,,12 (12)
"Austin, TX",KEYE-TV,42 (43),2012,CBS,Telemundo,,
"Beaumont & Port Arthur, TX",KBTV-TV,4 (40),2012,Fox,TBD,Comet,
"Beaumont & Port Arthur, TX",KFDM,6 (21),2012,CBS,CW+,Charge!,
"El Paso, TXLas Cruces, NM",KDBC-TV,4 (18),2013,CBS,MyNetworkTV & TBD,MeTV,
"El Paso, TXLas Cruces, NM",KFOX-TV,14 (15),2013,Fox,Comet TV,Charge!,
"Harlingen, TX & the Rio Grande Valley",KGBT-TV,4 (31),2013,CBS,Azteca America,Comet,
"San Angelo, TX",KTXE-LD,38 (38),2017,ABC,The CW,MeTV,
"San Antonio - Kerrville, TX",KMYS,35 (32),2001,The CW,ASN,,
"San Antonio - Kerrville, TX",WOAI-TV,4 (48),2012,NBC,Antenna TV,,
"San Antonio - Kerrville, TX",KABB,29 (30),1997,Fox,Comet,TBD,
"Salt Lake City, UT",KUTV,2 (34),2012,CBS,MyNetworkTV,,
"Salt Lake City, UT",KJZZ-TV,14 (46),2016,Independent,Comet,TBD,Charge!
"St. George, UT",KMYU,12 (9),2012,MyNetworkTV,CBS,,
"Bristol, VA - Greeneville - Johnson City -Kingsport, TN",WCYB-TV,5 (5),2017,NBC,The CW,Decades,
"Bristol, VA - Greeneville - Johnson City -Kingsport, TN",WEMT,39 (38),2017,Fox,Movies!,,
"Lynchburg & Roanoke, VA",WSET-TV,13 (13),2014,ABC,ASN,Comet,TBD
"Norfolk, VA & Hampton Roads",WTVZ-TV,33 (33),1996,MyNetworkTV,ASN,Comet,TBD
"Richmond, VA",WRLH-TV,35 (26),1998,Fox,MyNetworkTV & TBD,Comet,Charge!
"Seattle & Tacoma, WA",KOMO-TV,4 (38),2013,ABC,Comet,Charge!,
"Seattle & Tacoma, WA",KUNS-TV,51 (50),2013,Univision,TBD,,
"Yakima, WAPasco & Kennewick, WA",KIMA-TV,29 (33),2013,CBS,CW+,Grit,
"Yakima, WAPasco & Kennewick, WA",KEPR-TV,2013,CBS,CW+,Grit,,19 (18)
"Yakima, WAPasco & Kennewick, WA",KUNW-CD,2 (30),2013,Univision,,,
"Yakima, WAPasco & Kennewick, WA",KVVK-CD,2013,Univision,,,,15 (15)
"Yakima, WAPasco & Kennewick, WA",KORX-CD,2013,Univision,,,,16
"Charleston & Huntington, WV",WCHS-TV,8 (41),1997,ABC,Antenna TV,Charge!,TBD
"Charleston & Huntington, WV",WVAH-TV  1,11 (19),1994,Fox,ASN,Comet,
"Green Bay, WI & the Fox Cities",WLUK-TV,11 (11),2014,Fox,Antenna TV,TBD,
"Green Bay, WI & the Fox Cities",WCWF,14 (21),2014,The CW,Comet,Charge!,
"Madison, WI",WMSN-TV,47 (49),2002,Fox,Comet,Grit,
"Milwaukee, WI",WVTV,18 (18),2000,The CW,GetTV,,
"Milwaukee, WI",WCGV-TV,24 (25),1995,MyNetworkTV,Comet,Grit,
